Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
2476	16/12/2018	Florida 1 (Florida N°343)	5	No hay gente q atienda, al menos suficiente. Compre copas y no había nadie q le hiciera un embalaje adecuado, me ocupe personalmente de buscar cajas por el local y de ultima tuve q indicar como debían proteger la cristalería.  El joven q me atendió tenía tanta voluntad como desconocimiento.	Colaboradores	Atención	Falta de personal en piso	detractores resto para compesandar
2477	16/12/2018	Mendoza	5	Algunas cosas son baratas otras no.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2478	16/12/2018	San Juan	5	Demasiado tiempo de espera en las filas.  Solo habían tres cajas abiertas en hora pico	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2479	16/12/2018	Rosario	5	promedio	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2480	16/12/2018	Rosario	5	Muy desordenado el sistema de cajas, no hay espacio entre cajas y al salir de la tienda me di cuenta que me faltaba un producto que compre y me habían cobrado. Lamentablemente no pude volver a reclamar porque ya había salido de la tienda	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
2481	16/12/2018	Mendoza	5	Servicio de entregas malo	Despacho	Retiro en tienda	Home delivery	detractores resto para compesandar
2482	16/12/2018	Mendoza	6	Uh qué se yo	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2483	16/12/2018	Avellaneda	5	Porque realice una compra de 3 moldes de silicona. Cuando llegue a la caja uno de los moldes no tenía el código, pero todos los moldes tenían el mismo código (ya que eran todo navideños y estaban en promo), pero la cajera insistió en llamar a un asesor. Luego cuando pasa los productos, no le tomaba la promoción de 3x2 que tenían los mismo, le dije y nuevamente me hizo esperar. Por último imprimió el ticket de compra de la tarjeta y nose qué inconveniente tuvo, que me decía que había salido cancelado (cuando ella ya tenía en la mano el ticket impreso), yo solamente tenía que firmarlo porque pague con tarjeta de débito. Me hizo esperar a la encargada, para que una vez que llego le diga que estaba todo ok, que sólo tenía que firmar (algo que yo ya le había explicado). La verdad me fui indignada, estuve más de 20 minutos en la caja para abonar solo 3 moldes de silicona, la antencion fue pésima.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2484	16/12/2018	Cordoba	5	Para mi fallabella no vende despacha!! Nunca se me acerca un vendedor solo sinle pregunto	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2485	16/12/2018	San Juan	6	Porque no habia nadie que me asesorara en la compra	Colaboradores	Atención	Falta de personal en piso	detractores resto para compesandar
2486	17/12/2018	Cordoba	4	Muy desordenado los cajeros no tienen información y mala predisposición de personal	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2487	17/12/2018	Unicenter	4	Pésima atención del personal de línea de caja. No están capacitadas para orientar tanta demanda en fiestas navideñas.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2488	17/12/2018	Cordoba	3	Fui a comprar ropa para dama y no hay variedad en talles grandes	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
2489	17/12/2018	Unicenter	6	Muchp desprden y carteles de precios mal colocados o inexistente	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2490	17/12/2018	Dot	0	LAMENTABLE pedir por favor que te busquen un talle es imposible lograrlo .Mal humor y pocas ganas de trabajar de las empleadas	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2491	17/12/2018	Unicenter	4	Estuve 50 minutos en la caja para abonar, con la tarjeta CRM, y al final de cuentas estoy seguro no me hicieron todos los descuentos correspondientes.	Cajas	Demora 	Tiempo de espera en fila	detractores resto para compesandar
2492	17/12/2018	Unicenter	0	remarcación de precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2493	17/12/2018	Avellaneda	6	Faltan cajas	Cajas	Demora 	Tiempo de espera en fila	detractores resto para compesandar
2494	17/12/2018	Mendoza	3	Los precios elevados para la calidad de los productos y falta de talles grandes tanto de damas como de caballeros, los talles no son reales	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2495	17/12/2018	Cordoba	3	Compré un traje de baño y tres calzoncillos. En caja me atendieron amablemente pero cuando llegue a mi domicilio encontré que sólo pusieron el traje de baño y dos calzoncillos. Me cobraron los tres pero me pusieron sólo dos en la bolsa. Hoy voy a ir a la sucursal para informarle. Espero que puedan darme una solución satisfactoria.	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
2496	17/12/2018	Tortugas	3	"la tienda se encontraba desordenada y me costo encontrar un vendedor que me oriente, cuando al fin lo encontre semti q poco le importaba asistirme.  Por otro lado necesitba bermudas de niño en talle 10 y no encontre. Soy cliente y hubiera comprado mas . si hubiera encontrada talle 10 en yamp.
Realmente me hria a Unicenter xq siente que tienen mejor atencion y mas variada de productos."	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2497	17/12/2018	Unicenter	6	Porque lo más tedioso son las filas para pagar	Cajas	Demora 	Tiempo de espera en fila	detractores resto para compesandar
2498	17/12/2018	Rosario	5	Justamente tuve un inconveniente con la compra realizada. Compré dos remeras EVERLAST para regalar y cuando el destinatario abrió el regalo se encontró que una de las remeras tenia un agujero en la manga (como si fuera un punto corrido). La mercaderia no estaba anunciada como de segunda o con fallas, motivo por el cual yo no la revisé. Vivo en Pergamino y me acaban de someter a una cirugia por lo cual se me hace imposible ir a cambiarla (independientemente del costo que que esto me implicaria y de lo mal que quedé con la persona a la cual le hice el regalo).	Productos	Disponibilidad 	Mal estado del producto	detractores resto para compesandar
2499	17/12/2018	Cordoba	5	no estan siempre los precios publicados	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2500	17/12/2018	Avellaneda	6	La tienda está muy desorganizada, desordenada, productos rotos.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2501	17/12/2018	Cordoba	6	Mucha gente. Se pierde mucho tiempo en la tienda. En Atención al público había varios clientes de mal humor porque le cobraron mal los resumenes, por compras duplicadas, cobros de cuotas duplicados, etc. A todos los mandaban a hablar al 0800 y la gente se indignaba y no se iba. Se pierde mucho tiempo en la caja para abonar. La salida de la playa subterránea fue caótica. Desde que entré a Atención al cliente, hasta que pude salir del Shopping, pasé casi una hora.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2502	17/12/2018	Cordoba	6	No se aplicaron los descuentos publicados con la tarjeta CMR. Además el guardia me paró en la puerta porque cuando me fui comenzó a soñar la alarma, comenzó a sacar de las bolsas todos los productos que había comprado y no podía encontrar cuál era el que sonaba. Hasta que después de un largo rato, pudo ver que una de las camisas que había comprado tenía puesta la alarma que la cajera no quitó de la prenda.	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2503	17/12/2018	Cordoba	4	Nada tiene precio. Colas para averiguar precio es los lectores. Hacer que el cliente haga el trabajo de averiguar los precios habla de una falta de respeto que no se espera de una tienda como falabella. Pesima experiencia del cliente. El 30%de descuento es una mentira. En carrafour y Walmart estan los mismos juguetes con precio real y es el mismo que queda con el descuento aplicado. Dejen de subestimar al cliente. Estén a la altura de los nuevos consumidores.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2504	17/12/2018	Unicenter	0	El sector de cajas y pagos un horror	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2505	17/12/2018	Tortugas	5	Muchas demora en cajas	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2506	17/12/2018	Mendoza	3	No tienen buena comunicacion de las promos. Cuando llegas a caja no respetan los precios que aparecen en lao carteles de publicidad	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2507	17/12/2018	Mendoza	6	Porque hay poca variedad y solo se compra en buenos precios cuando hay promociones. Así y todo, fuimos bien atendidos y compramos sandalias infantiles de buena calidad	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
2508	17/12/2018	Unicenter	5	Poca variedad	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
2509	17/12/2018	Cordoba	5	Porque me parece que es la que corresponde.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2510	17/12/2018	Tortugas	0	Espera execiba	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2511	17/12/2018	Florida 3 (Florida N°665)	0	Todas las prendas que compre , no les sacaron las alarmas.una me la sacaron en el DOT y la otra la vi cuando me estaba poniendo el vestido , la saqué yo y se rompió el vestido, todavía no vi las otras prendas, una vergüenza!!	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2512	17/12/2018	Tortugas	3	Mal asesoramiento de parte del personal de la tienda, productos mezclados en el mismo espacio con otros de menor valor, lleva a confusión, al estar todo junto la gente cree que cuesta todo lo mismo.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2513	17/12/2018	Mendoza	2	No saben explicar las promociones, y me dieron ticket regalos todos juntos(6)y después me entero que eran unos para unos productos y otro para otros... osea los tendrían que abrochar cada uno en su bolsa respectiva como hacen en todas las tiendas... te dan todos los productos juntos, tods los ticket juntos y uno en su casa tiene que ver cual es d cuál. Muy mala atención, y más cdo es para un regalo, quedas peor!	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2514	17/12/2018	Avellaneda	6	Porque faltan talles XL y XXL en la mayoría de las prendas	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
2515	17/12/2018	Tortugas	4	"Para vísperas de fechas festivas. Día de la madre, del niño, y en este último caso navidad. El sector caja siempre está desbordado y en tres oportunidades se ""olvidaron"" de entregarme productos que ya había abonado. Y en dos oportunidades volví y me negaron que se encontraban ahí. Por eso creo que es muy vergonzosa esa situación. Como clienta frecuentes me gustaría que puedan solucionar este gran problema."	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2516	17/12/2018	Tortugas	6	No me gusto el trato de la cajera	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2517	17/12/2018	Unicenter	4	No tienen la variedad que solian ofrecer . Faltan muchos talles y la atencion de cajas es deplorable	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2518	17/12/2018	Rosario	5	el costo de los productos.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2519	17/12/2018	Unicenter	6	Porque uno de los productos que compre no me lo entregaron. Compre varios ítems, pedi me los envuelvan por separado y mientras terminaban de embolsar me pidieron de lugar para que le cobren a la persona que seguía. Me entregaron varias bolsas, en el momento no chequie y cuando llegue a mi casa detecté que un producto que abone no me fue entregado. Lamentablemente no regrese porque la tienda no queda cerca de mi domicilio, pero me enojo mucho la situación	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
2520	18/12/2018	Unicenter	5	"En primer lugar el orden de los productos no es para nada bueno. Lo que resulta difícil encontrar el precio q corresponde al producto.
Segundo hay cajas sin abrir y se tarda para abonar.
Muchas veces hay productos sin el precio actualizado con la rebaja y se tarda aún más en la caja. También sucede q se encuentran productos remarcados con rebajas y llegando a la caja te cobran el valor “real” cuando no deberían hacerlo x derecho al consumidor.
En el salón es difícil encontrar un asesor que te pueda explicar bien las características o diferencias entre productos, sin importar él área la respuesta es siempre “ya le averiguo”
Por último, siempre los de la caja se olvidan de sacar las alarmas de los productos comprados, y suceden dos cosas la primera el mal momento q te hace pasar el de seguridad de la puerta y segundo la alarma arruina el producto y no reconocen esa rotura diciendo q fue culpa del cliente."	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2521	18/12/2018	Dot	5	Poca de variedad de productos	Productos	Disponibilidad 	Falta variedad/ Baja calidad	detractores resto para compesandar
2522	18/12/2018	Florida 1 (Florida N°343)	0	"Los probadores están muy alejados hay uno solo en todo el piso lo que hace muy incómoda la compra.
Tuve que ir al día siguiente a cambiar un producto y fue realmente una odisea ya que nadie sabía informarme cuáles eran las cajas de cambio, cuando finalmente las encontré demoraron 35 minutos en atenderme, cuando llegó mi turno el sistema estaba caído de modo que perdí prácticamente 2 hs y no pude cambiar el producto,  NUNCA MÁS UNA COMPRA EN ESTAS TIENDAS !!"	Probadores	Tiempo de espera	Fila extensa para acceder al probador	detractores resto para compesandar
2523	18/12/2018	Florida 1 (Florida N°343)	6	Es hermoso pero se exceden los precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2524	18/12/2018	Unicenter	5	"ESTUVE MUCHO TIEMPO ESPERANDO EN LAS CAJAS. UN EMPLEADO ME MANDÓ PARA LAS CAJAS DE BAZAR DEL SECTOR DE ARRIBA Y ESTUVE ESPERANDO MÁS DE MEDIA HORA.
EL PRODUCTO TENÍA REBAJA PERO PRIMERO LO HABÍAN AUMENTADO Y, CON EL DESCUENTO QUEDABA AL MISMO PRECIO QUE ANTES"	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2525	18/12/2018	Unicenter	2	Las ofertas No son claras,hay mucho desorden,compre productos coniglio,hable con el vendedor del sector y me dijo que de lo que marcaba el lector,el 40 %,cuando estaba en la salida me di cuenta que no me habian hecho el descuento,volvi y devolvi todo,una perdida de tiempo......Para hacer la devolucion estuve 2 horas,en las cajas del sector mujeres,y para colmo la gente que embalaba,le puso Mi ropa en la bolsa del cliente que estaba al lado.....	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2526	18/12/2018	Florida 1 (Florida N°343)	6	Porque cuando fui a pagar no me estaba no aplicando la promocion de 2 x 1 y 3 x2 y si no les decía me cobraban 250 pesos de más	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2527	18/12/2018	Cordoba	0	Compre algo, me lo enviaron mal nunca se ocuparon de querer resolver el problema, y tuve que pedir que me devolvieran la plata, cosa que obviamente si hicieron, pero yo perdi mucho tiempo. compre en otra tienda.	Despacho	Retiro en tienda	Home delivery	detractores resto para compesandar
2528	18/12/2018	Unicenter	4	"La experiencia no fue buena. La empleada de textil con pocas ganas de atender, y como nada tenía precio y el lector no andaba, había que consultarla cosa que le molestaba.
Antes había estado en indumentaria, y esa caja un caos: dejé asentada la queja al salir, ya que la empleada que atendió en la caja (que reemplazaba a otra) no le sacó la alarma a una prenda. Y ella no cobraba con tarjeta y no cobraba CRM por lo cual, decía ""tenés que ir a otra caja"". Bueno, intercalame vos para que no tenga que volver a hacer la fila, y me indicaba que espere ""para no tener que hacer de nuevo la fila"". Y no, no voy a hacer de nuevo, intercalame vos. Y bueno, esperá para que ""no tengas que hacer de nuevo la fila""... y así, en círculo. Cero voluntad. Nos tuvimos que ir solas a otra caja."	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2529	18/12/2018	Mendoza	0	siempre demoras. mala atencion de la encargada cuando pedí el libro de quejas me mandó al sunsuelo. le pregunté y dijo que solo habia uno en cada piso. tuve que realizar un cambio  y no había mi talle. quise recuperar el dinero y me obligaban a tomar una gift card que luego no podria usar libremente. la política de cambios es desfavorable para el cliente	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2530	18/12/2018	Florida 1 (Florida N°343)	3	"Porque no había sistema. Quise llevar dos juguetes y como no podían facturar más de $1000 solo puede llevarme uno solo que no superaba ese monto.
No brindaban ninguna solución ni tampoco tenían información de cuando podría realizar la compra.
Además el cajero mientras me atendía a mi, ayudaba a cobrar a su compañero, sin escuchar mis comentarios y consultas ."	Cajas	Tarjetas de crédito / Bancos	Error en cobro	detractores resto para compesandar
2531	18/12/2018	Cordoba	6	Altos precios. Desorden.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2532	18/12/2018	San Juan	4	Porque nunca encuentra uno a alguien de la tienda para consultar, y si uno encuentra nunca tienen buena predisposición	Colaboradores	Atención	Falta de personal en piso	detractores resto para compesandar
2533	18/12/2018	Unicenter	5	Muy mala atención en la parte del servicio de la cmr	CMR	Colaboradores	Falta amabilidad y actitud de servicio CMR	detractores resto para compesandar
2534	18/12/2018	Florida 1 (Florida N°343)	2	Porque elegiste objetos de navidad que decían que estaban 2por uno y al llegar a la caja me avisan que no entraban esos productos de navidad en la promoción cuando había un cartel bien grande que decía 2*1. Una gran decepción porque compre productos navideños y me enteré cuando tuve que firmar el tickets. Pedí hablar con una supervisora y nunca la llamaron. Me cobraron además un objeto de navidad que había dicho que no lo llevaba y cuando me di cuenta pregunté si ese sí estaba considerado en la promo y me dijeron que si entonces le dije a la cajera bueno entonces llevo otro más que no me lo tenés que cobrar y me dijo a pero ahora ya no puedo pasarlo no le va a tomar la promoción. Yo compro desde hace años en la tienda. Fue una gran desepcion	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2535	18/12/2018	Florida 1 (Florida N°343)	0	me dieron un producto al cual le falta una pieza y el monto q dice en la caja no coincode con el  q me cobraron ya hice reclamos por telefono y mail pero nadie puede solucilnar nada ni tomar el reclamo. tengo q presentarme nuevamente para poder realizar la queja, cambio y ajuste del.monto.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2536	18/12/2018	Florida 2 (Florida N°202)	0	Porq no me hicieron el descuento de bienvenida	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2537	18/12/2018	Rosario	6	Desorden. Falta de precios. Mala iluminación. No invita a comprar	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2538	18/12/2018	Mendoza	0	Demora en la zona d caja. Al dalir sono alarma. El personal m retuvo sin razon. Llamaron a policia. Q no podia irme hasta q gerencia m autorizara. Si habia un hurto debia pagar. Primero si habia delito dwbian llamar a la policia. Y ni el policía ni empleado d seguridad ni gerencia. Pueden dar un veredicto d un delito. Esa tarea es exclusiva d jueces. Un maltrato. Hice hoy la denuncia correspondiente!	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2539	18/12/2018	Unicenter	0	Porque la atención en caja fue muy mala, la chica no sabía pedir autorización a Visa por lu cual termine abonando con Débito y no con crédito como quería. Además en el juguete figuraba un precio y me lo facturo más caro sin poder brindarme una explicación.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2540	18/12/2018	Unicenter	3	La publicidad del producto es engañosa. Noe solucionaron mi reclamo	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2541	18/12/2018	Florida 2 (Florida N°202)	5	es bastante engorroso el trámite para cambiar un regalo. Hice 30' de cola	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2542	18/12/2018	Cordoba	5	El desorden hace dificil encontrar lo que se busca	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2543	18/12/2018	San Juan	5	No tiene casi nada en buen precio y para colmo la tarjeta de uds la reciben en 3 cuotas s/interés, en otros lugares me reciben 6  con ahora 12 en 12 s/interés. Podrían poner un poco de mas esfuerzo con los clientes de uds.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2544	18/12/2018	Unicenter	5	Desorden en precios de los productos y mala preposición para atender ante una pregunta	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2545	18/12/2018	Unicenter	4	Atención regular.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2546	18/12/2018	Cordoba	3	"1-Los gift card no pueden utilizarse con la aplicación de los descuentos que ofrecía la tienda, por ello el que tenía mi esposa no fue usado dicho día. Si hay descuentos por pago con cualquier medio, pues un gift card interviene bajo esa premisa.
2-Los gift card no pueden usarse en compras virtuales, hecho que resulta cuanto menos ineficiente.
3-El gasto efectuado en el día osciló los $5100, de los cuales una cantidad fue abonada con Visa Regalo, mucho más eficiente que Vtros. Gift Card.
4-Al finalizar las compras, al salir tuve demoras porque olvidaron alarmas en un producto.
5-El fin de semana realizamos compra virtual sin problemas, de lo cual estamos a la espera que el producto sea despachado a la Tienda."	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2547	18/12/2018	Cordoba	4	Por qué no me tomaba la tarjeta y no me daban solución, me decían que llamé al Banco , y después por mis quejas me pasaron a otra caja del lado y pude pagar, pero demore bastante tiempo	Cajas	Demora	Tiempo de espera en transacción	detractores resto para compesandar
2548	18/12/2018	Cordoba	5	Mucha demora en las cajas	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2549	18/12/2018	San Juan	6	La mala atención en el probador de una empleada de seguridad morocha de trenzas ese día a la mañana a mi abuela discapacitada se estaba probando ropa y no me permitió a mi (su nieta) pasar con una prenda estando la sra en el probador esperando, pretendía que haga toda la fila de nuevo. Sumamente irrespetuosa y poco amable me hablo mal, con mucha soberbia y mi abuela se fue sin probarse la ropa. Claramente no puede esperar, no tuvo consideración del estado de la sra, la cual no podía permanecer mucho tiempo en el probador. Me parece una falta de respeto que haya Personal tercerizado que le de mal aspecto a la tienda de esa forma. Para que lo tengan en cuenta. Con los abuelos no se jode. Y esa persona impidió que compraramos.	Probadores	Colaborador	Falta amabilidad y actitud de servicio probador	detractores resto para compesandar
2550	18/12/2018	Unicenter	5	Es muy despareja en atención, orden y variedad de talles.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2551	18/12/2018	Florida 2 (Florida N°202)	4	Poca variedad de productos , falraban talles	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
2552	19/12/2018	Rosario	6	Hay pocos vendedores y ningun tipo de asesoramiento al cliente.-	Colaboradores	Atención	Falta de personal en piso	detractores resto para compesandar
2553	19/12/2018	Tortugas	0	No me entregaron algunas de las prendas que compre mañana a 1 hora entre por ahi cuando le quise dar el regalo a mi hija me Di cuenta en mi casa que me faltaban varias prendas y aparte estuve 1 hora en la cola	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
2554	19/12/2018	Unicenter	5	.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2555	19/12/2018	Florida 2 (Florida N°202)	6	.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2556	19/12/2018	Florida 3 (Florida N°665)	5	Porque la sección damas es triste, no invita a quedarse, la cajera muy mala predisposición, muy buena la encargada	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2557	19/12/2018	Rosario	5	Demasiado lentas las cajeras, un solo ascensor funcionando un día tan cercano a la fiestas. Cola de mucho tiempo para poder subir con un bebe en cochecito.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2558	19/12/2018	Unicenter	5	Porq tiene cosas lindas pero hay poca gente para ayudar a elegir las cosas en forma correcta	Colaboradores	Atención	Falta de personal en piso	detractores resto para compesandar
2559	19/12/2018	Cordoba	6	precios caros y mucha desorganizacion, articulos sin precio	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2560	19/12/2018	Tortugas	5	Porque quise comprar velas que agarre del sector que decía 2x1 y al consultar al personal me dijeron que todas estaban 2x1 y cuando quiero pagar en caja no me aplicaron la promoción en ninguna de las velas que agarre.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
2561	19/12/2018	Florida 1 (Florida N°343)	6	"Variedas de productos ok
 A veces no estan los precios en los productos
El personal a veces es deficil de encontrar para hacer consultas"	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2562	19/12/2018	Florida 1 (Florida N°343)	3	El descuento que me ofrecía la página de internet era mayor pero, terminé comprando porque ya estaba ahi.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
2563	19/12/2018	Mendoza	5	Por el desorden y la falta de atención.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
2564	19/12/2018	Unicenter	5	"las colas son interminables.
ademas hice una compra por internet que nunca llego y dan 1000 vueltas para devolverme la plata.
y aun no me la devolvieron
por ahora no estan siendo recomendables"	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2565	19/12/2018	Avellaneda	4	En vísperas de navidad estaban casi todas las cajas cerradas.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2566	19/12/2018	Cordoba	6	"Porque ese día en particular, con el happy houer en todo el shopping, Falabella era un loquero de gente y no había suficientes cajero/as. Yo fui a comprar una mochila que ya había visto y demoré más de una hora para pagarla.
En los días normales, la falta de atención del personal es notoria. Cuando se necesita preguntar algo hay que recorrer buena parte de la tienda buscando a la persona de la sección, sobretodo en la parte indumentaria para damas y niños."	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2567	19/12/2018	Unicenter	4	Mala atención. Gente poco capacitada en las cajas, tardé como una hora en poder pagar. Sin personal que atienda. Sin la señalización correcta para productos que no participan de las promociones...	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2568	19/12/2018	Rosario	3	Xq solo una cajera atendiendo electrodomesticos y no nos daban prioridad a los q comprábamos electrónico,por lo tanto mucho tiempo de espera,la cajera se daba el gusto de saludar a amistades q llegaban y nosotros esperando y mirando como no le importaba nuestro tiempo, para q m atiendan tuve q buscar yo un vendedor, todos charlando entre ellos envío grupo,una vergüenza,cero consideración a los clientes y días q hay mucha gente!	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2569	19/12/2018	Tortugas	6	Mala predisposicion de los vendedores...no me gusto	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2570	19/12/2018	Avellaneda	2	Muy mala atención, los juguetes en su mayoría no tenían precio y en todos los sectores excepto en calzado damas fue casi imposible encontrar un vendedor.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
2571	19/12/2018	Unicenter	5	Mucha demora	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2572	19/12/2018	Mendoza	5	No es la primera vez que me pasa que voy con un familiar que quiere pagar con tarjeta que tiene chip y no tienen el posnet. 3 pisos tiene la tienda y tienen que andar buscando el aparato para traerlo. En estas fechas sobre todo qué hay tantas colas para pagar	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
2573	19/12/2018	Mendoza	3	Por la mala atención de los empleados, me tuvieron un montón de tiempo en espera para atenderme, de ahí estuve haciendo fila también con su tiempo de demora para volver a retirar la mercancía y x si fuera poco al buscar los zapatos que ya había pagado eran las 22hs y no había vendedor que me los entregara, una vergüenza, los empleados no deberían retirarse sin terminar su trabajo.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
2574	19/12/2018	Rosario	5	Compre un vestido y un jean las dos cosas me las dieron con la alarma puesta, cuando fui a cambiar el vestido me trataron de ladrona y cuando sali obviamente sono la alarma del jean y el vigilador me dijo lo mismo	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
2575	19/12/2018	Unicenter	6	Si	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
2576	19/12/2018	Unicenter	4	"Mala atención de caja, tuve que volver al día siguiente a buscar los tickets de cambio que la cajera se olvido de poner. me hizo 3 facturas distintas por toda la compra.
Me hizo volver a ir a buscar 3 prendas que no tenían etiqueta, como si yo supiese que las prendas no tenían etiqueta.

En todo caso, asegúrense de que todas las prendas tengan etiqueta para evitar estos casos.
Un desastre en general."	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
2577	19/12/2018	Unicenter	5	La voluntad de asesorarte y el buen servicio no estuvo presentr.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
